girl_gather_speed,gold,time,gather_speed_increase,girl,girlspeed16,girlspeed20,time_in_minutes,rate
16,9187,2:12,0,1,1,0,132,69.59848484848484
16,9205,2:13,0,1,1,0,133,69.21052631578948
0,17950,4:20,91,1,0,0,260,69.03846153846153
0,17983,4:43,0,1,0,0,283,63.54416961130742
16,17503,4:14,0,1,1,0,254,68.90944881889764
16,11108,2:40,0,1,1,0,160,69.425
0,14557,3:39,0,1,0,0,219,66.4703196347032
16,14475,3:29,0,1,1,0,209,69.25837320574162
0,3696,0:50,101,1,0,0,50,73.92
16,18000,3:35,101,5,1,0,215,83.72093023255815
0,8760,2:18,0,5,0,0,138,63.47826086956522
16,17700,3:45,102,1,1,0,225,78.66666666666667
15,17908,4:19,0,5,1,0,259,69.14285714285714
16,3085,0:38,0,3,3,0,38,81.1842105263158
20,18000,3:54,0,2,1,1,234,76.92307692307692
16,17797,3:39,0,4,3,0,219,81.2648401826484
0,18000,4:42,0,4,0,0,282,63.829787234042556
15,17964,3:49,102,5,1,0,229,78.44541484716157
20,3431,0:40,102,2,1,1,40,85.775
16,17941,3:59,0,2,2,1,239,75.06694560669456
16,5336,1:06,0,3,3,0,66,80.84848484848484
16,17859,4:16,0,2,1,0,256,69.76171875
0,17956,4:06,102,5,0,0,246,72.99186991869918
16,17289,3:34,0,3,3,0,214,80.78971962616822
20,17216,3:49,0,2,1,1,229,75.17903930131004
20,17963,3:25,102,2,0,2,205,87.62439024390244
